City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
292,Nanortalik,GL,2020-08-27 17:38:48,60.14,-45.24,49.32,69,98,10.47
293,Peterhead,GB,2020-08-27 17:38:49,57.51,-1.8,55.4,82,75,11.41
294,Namibe,AO,2020-08-27 17:38:49,-15.2,12.15,62.13,82,84,12.5
295,Suhbaatar,MN,2020-08-27 17:38:49,50.23,106.21,55.83,87,99,4.56
296,Klaksvik,FO,2020-08-27 17:38:49,62.23,-6.59,53.6,71,28,12.75
297,Guerande,FR,2020-08-27 17:38:49,47.33,-2.43,68.0,82,75,17.22
298,Porto Walter,BR,2020-08-27 17:38:49,-8.27,-72.74,97.16,25,5,3.6
299,Lincoln,US,2020-08-27 17:34:28,40.8,-96.67,91.0,52,1,6.93
300,Darhan,MN,2020-08-27 17:38:49,49.49,105.92,53.85,88,77,3.62
301,Turukhansk,RU,2020-08-27 17:38:49,65.82,87.98,53.11,85,100,7.76
302,Marigot,MF,2020-08-27 17:38:49,18.07,-63.08,89.6,62,20,9.17
303,Atasu,KZ,2020-08-27 17:38:49,48.68,71.64,63.68,51,6,7.56
304,Upernavik,GL,2020-08-27 17:38:50,72.79,-56.15,44.2,67,99,9.01
305,Morehead,US,2020-08-27 17:38:50,37.27,-87.18,89.6,74,40,4.7
