City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Carnarvon,AU,-24.87,113.63,73.4,83,75,12.75,broken clouds
233,Chuy,UY,-33.7,-53.46,57.52,98,100,5.08,moderate rain
234,Nocupetaro,MX,19.05,-101.15,68.5,91,100,1.12,overcast clouds
235,Kassala,SD,15.45,36.4,76.37,77,62,11.12,broken clouds
236,Moreira Sales,BR,-24.06,-53.01,61.34,69,0,8.46,clear sky
237,Russell,US,32.35,-85.2,78.8,94,1,5.23,clear sky
238,Wad Madani,SD,14.4,33.52,77.31,75,99,15.57,overcast clouds
239,Pisco,PE,-13.7,-76.22,63.0,82,90,8.05,overcast clouds
240,Muros,ES,42.78,-9.06,59.0,94,41,3.0,scattered clouds
241,Peniche,PT,39.36,-9.38,70.0,93,32,5.99,scattered clouds
242,Saint Anthony,US,45.02,-93.22,78.8,69,1,4.7,clear sky
243,Tamworth,GB,52.63,-1.7,55.4,93,90,3.36,overcast clouds
244,Sorland,NO,67.67,12.69,50.52,72,100,10.47,overcast clouds
245,Shubarkuduk,KZ,49.14,56.49,75.96,26,23,5.68,few clouds
246,Brewster,US,41.4,-73.62,69.8,94,40,4.7,light rain
247,Carutapera,BR,-1.2,-46.02,76.68,93,0,5.66,light rain
248,Seymchan,RU,62.88,152.43,51.87,54,99,10.83,light rain
249,Imbituba,BR,-28.24,-48.67,66.2,88,40,11.41,scattered clouds
250,Vardo,NO,70.37,31.11,39.2,86,20,16.11,few clouds
251,Buala,SB,-8.14,159.59,84.58,74,100,12.26,light rain
252,Meulaboh,ID,4.14,96.13,84.38,70,99,2.3,light rain
253,Awbari,LY,26.59,12.78,76.32,37,0,9.13,clear sky
254,Yar-Sale,RU,66.83,70.83,58.01,79,100,9.15,overcast clouds
255,Villa Rica,US,33.73,-84.92,79.0,89,100,5.7,overcast clouds
256,Disna,BY,55.57,28.2,52.07,96,64,6.26,broken clouds
257,Bontang,ID,0.13,117.5,85.86,65,100,5.37,overcast clouds
258,Buriti Alegre,BR,-18.14,-49.04,61.81,37,0,4.32,clear sky
259,Airai,TL,-8.93,125.41,74.3,44,55,8.48,broken clouds
260,Santiago Do Cacem,PT,38.02,-8.69,64.0,88,4,4.0,clear sky
261,Coihaique,CL,-45.58,-72.07,33.8,86,75,3.36,light rain
262,Sabang,ID,5.89,95.32,83.97,69,97,5.08,overcast clouds
263,Nome,US,64.5,-165.41,54.0,81,90,8.05,light rain
264,Kulhudhuffushi,MV,6.62,73.07,83.44,71,13,13.33,few clouds
265,Skjervoy,NO,70.03,20.97,47.71,71,91,21.07,light rain
266,Kavaratti,IN,10.57,72.64,82.22,76,100,10.49,overcast clouds
267,Fernley,US,39.61,-119.25,82.0,17,0,5.01,clear sky
268,Beloha,MG,-25.17,45.05,65.7,95,6,9.31,clear sky
269,Bonavista,CA,48.65,-53.11,55.0,86,66,4.0,broken clouds
270,Vestmannaeyjar,IS,63.44,-20.27,51.51,80,97,14.76,light rain
271,Mehran,IR,33.12,46.16,64.4,25,0,4.7,clear sky
272,Leningradskiy,RU,69.38,178.42,39.69,89,100,6.44,overcast clouds
273,Karaton,ID,-6.34,106.1,86.0,58,20,4.7,few clouds
274,Funes,AR,-32.92,-60.81,60.8,48,80,10.29,broken clouds
275,Victor Harbor,AU,-35.57,138.62,60.01,77,5,4.14,clear sky
276,Morganton,US,35.75,-81.68,80.01,84,100,2.64,overcast clouds
277,Culebra,PR,18.3,-65.3,84.2,79,40,10.29,scattered clouds
278,Sangar,RU,63.92,127.47,63.88,33,0,4.14,clear sky
279,Rexburg,US,43.83,-111.79,73.4,46,90,4.7,overcast clouds
280,Brokopondo,SR,4.75,-55.17,77.47,84,100,5.59,light rain
281,Bilma,NE,18.69,12.92,89.92,37,63,7.96,broken clouds
282,Bubaque,GW,11.28,-15.83,80.87,79,100,11.39,moderate rain
283,Aktau,KZ,43.65,51.2,62.6,45,0,11.18,clear sky
284,Tabou,CI,4.42,-7.35,75.15,87,92,8.28,light rain
285,Kinkala,CG,-4.36,14.76,70.86,82,100,5.06,overcast clouds
286,Khandyga,RU,62.67,135.6,63.41,32,10,3.27,clear sky
287,Darnah,LY,32.77,22.64,76.37,83,0,17.05,clear sky
288,Tottori,JP,35.5,134.23,89.6,66,40,6.93,scattered clouds
289,Vila Velha,BR,-20.33,-40.29,68.0,94,75,2.24,broken clouds
290,Tiksi,RU,71.69,128.87,48.15,59,0,9.98,clear sky
291,Gazli,UZ,40.13,63.45,71.19,37,0,21.32,clear sky
292,Olafsvik,IS,64.89,-23.71,51.49,82,88,15.7,light rain
293,Xining,CN,36.62,101.77,65.71,45,0,2.8,clear sky
294,Sinjai,ID,-5.12,120.25,83.64,67,65,7.14,light rain
295,Severo-Kurilsk,RU,50.68,156.12,53.19,76,95,14.16,overcast clouds
